imd,lsoa,imd_quintile
1,E01026477,Most deprived
1,E01002269,4
1,E01002245,3
1,E01000633,2
1,E01024875,Most deprived
1,E01000080,Most deprived
1,E01004708,2
1,E01002721,2
1,E01002258,3
1,E01023314,3
1,E01024591,2
1,E01010017,Most deprived
1,E01002046,Most deprived
1,E01002343,4
1,E01025290,Most deprived
1,E01004929,2
1,E01009372,Most deprived
1,E01027742,3
1,E01003671,Least deprived
1,E01021762,3
1,E01002295,3
1,E01016118,3
1,E01000299,3
1,E01032575,Most deprived
1,E01000469,3
1,E01016176,Least deprived
1,E01001483,Most deprived
1,E01003993,Most deprived
1,E01002810,Most deprived
1,E01002080,Most deprived
1,E01002352,3
1,E01002299,2
1,E01002064,2
1,E01004735,2
1,E01023686,Least deprived
1,E01015962,2
1,E01001548,2
1,E01010430,Most deprived
1,E01021782,Least deprived
1,E01001380,4
1,E01001441,Most deprived
1,E01001431,Most deprived
1,E01002282,Most deprived
1,E01023460,Least deprived
1,E01031657,2
1,E01028435,Most deprived
1,E01016823,4
1,E01010742,Most deprived
1,E01002379,4
1,E01021680,3
1,E01008486,2
1,E01000170,2
1,E01002086,Most deprived
1,E01000196,3
1,E01001706,Most deprived
1,E01002259,Least deprived
1,E01003764,3
1,E01023607,Least deprived
1,E01002049,Most deprived
1,E01001607,3
1,E01010994,Most deprived
1,E01000264,3
1,E01023609,Least deprived
1,E01011433,Most deprived
1,E01021260,2
1,E01010564,Most deprived
1,E01000324,3
1,E01024900,Most deprived
1,E01030915,4
1,E01032742,2
1,E01033743,2
1,E01021582,4
1,E01021318,Most deprived
1,E01013524,2
1,E01002960,Least deprived
1,E01000029,2
1,E01024396,2
1,E01021358,2
1,E01002083,3
1,E01030865,4
1,E01023407,Least deprived
1,E01021978,4
1,E01002318,4
1,E01000121,Most deprived
1,E01024009,4
1,E01004525,2
1,E01015996,2
1,E01001479,2
1,E01001983,2
1,E01002096,Most deprived
1,E01021258,3
1,E01002081,Most deprived
1,E01021746,Least deprived
1,E01023334,4
1,E01002094,Most deprived
1,E01024318,4
1,E01002375,2
1,E01000353,Least deprived
1,E01012636,4
1,E01027331,Most deprived
1,E01002038,Most deprived
1,E01002643,2
1,E01001516,2
1,E01021566,4
1,E01003707,3
1,E01000060,Most deprived
1,E01002065,2
1,E01003916,2
1,E01002029,Most deprived
1,E01021288,Most deprived
1,E01001897,3
1,E01001688,2
1,E01031679,4
1,E01021745,Least deprived
1,E01033725,2
1,E01021302,Most deprived
1,E01009334,Most deprived
1,E01002754,2
1,E01030597,Least deprived
1,E01016018,Most deprived
1,E01003252,Most deprived
1,E01003105,2
1,E01002033,Most deprived
1,E01002087,Most deprived
1,E01024027,2
1,E01001552,2
1,E01022009,3
1,E01021823,2
1,E01018329,2
1,E01004665,Most deprived
1,E01001213,2
1,E01007675,2
1,E01033486,Most deprived
1,E01021792,4
1,E01002268,4
1,E01000040,Most deprived
1,E01016041,Most deprived
1,E01001460,Most deprived
1,E01004060,Most deprived
1,E01021783,4
1,E01001967,4
1,E01016720,2
1,E01001169,2
1,E01006040,Most deprived
1,E01002817,4
1,E01001506,Most deprived
1,E01033494,3
1,E01002354,Least deprived
1,E01002041,Most deprived
1,E01001432,Most deprived
1,E01020807,Most deprived
1,E01002719,2
1,E01003858,Least deprived
1,E01002327,3
1,E01002729,Most deprived
1,E01001669,2
1,E01003179,Most deprived
1,E01002044,2
1,E01027736,3
1,E01024183,Least deprived
1,E01000431,Most deprived
1,E01002338,4
1,E01000124,2
1,E01000141,Most deprived
1,E01001312,3
1,E01033327,Most deprived
1,E01000677,3
1,E01023861,2
1,E01000039,2
1,E01021809,2
1,E01004195,4
1,E01000619,3
1,E01015970,4
1,E01021860,2
1,E01001116,2
1,E01015153,Most deprived
1,E01002303,2
1,E01004067,Most deprived
1,E01033125,Most deprived
1,E01033177,4
1,E01015863,3
1,E01001407,3
1,E01024705,2
1,E01002797,Most deprived
1,E01018025,4
1,E01002092,Most deprived
1,E01021780,Least deprived
1,E01002364,Least deprived
1,E01024182,2
1,E01015951,3
1,E01002706,2
1,E01033395,3
1,E01032741,3
1,E01002382,4
1,E01021947,Least deprived
1,E01001859,3
1,E01002267,2
1,E01000916,2
1,E01015956,2
1,E01009414,Most deprived
1,E01021819,2
1,E01001491,Most deprived
1,E01017520,2
1,E01002003,Most deprived
1,E01021326,2
1,E01016834,2
1,E01002262,3
1,E01001601,4
1,E01000740,2
1,E01009270,Most deprived
1,E01026557,Least deprived
1,E01002554,2
1,E01021681,Least deprived
1,E01012040,Most deprived
1,E01033613,Least deprived
1,E01024047,2
1,E01016007,Most deprived
1,E01000130,2
1,E01021301,Most deprived
1,E01003043,2
1,E01012881,Most deprived
1,E01006768,Most deprived
1,E01032798,3
1,E01002088,2
1,E01002084,2
1,E01014157,4
1,E01002004,3
1,E01021773,3
1,E01001478,2
1,E01002308,2
1,E01002277,Most deprived
1,E01004720,Most deprived
1,E01001925,4
1,E01011428,Most deprived
1,E01000980,2
1,E01010838,Most deprived
1,E01001559,Most deprived
1,E01009209,2
1,E01030777,Least deprived
1,E01005238,Most deprived
1,E01000939,Most deprived
1,E01025692,4
1,E01000119,4
1,E01032729,2
1,E01002335,3
1,E01002641,2
1,E01021788,Least deprived
1,E01017946,Most deprived
1,E01002001,2
1,E01021872,Most deprived
1,E01023695,Least deprived
1,E01015972,2
1,E01001553,Most deprived
1,E01013681,Most deprived
1,E01001322,3
1,E01017855,4
1,E01002748,Most deprived
1,E01004177,2
1,E01021626,Least deprived
1,E01002710,Most deprived
1,E01006030,Most deprived
1,E01014654,Most deprived
1,E01021741,3
1,E01001354,3
1,E01015949,3
1,E01033005,2
1,E01002380,3
1,E01002738,2
1,E01002809,Most deprived
1,E01015795,Most deprived
1,E01011278,Least deprived
1,E01024706,4
1,E01009572,Most deprived
1,E01000640,2
1,E01009579,Most deprived
1,E01023326,2
1,E01021791,4
1,E01002313,2
1,E01001395,Most deprived
1,E01022072,Least deprived
1,E01002745,3
1,E01001710,Most deprived
1,E01002735,Most deprived
1,E01022219,Least deprived
1,E01002100,2
1,E01021836,2
1,E01030134,3
1,E01000163,2
1,E01003878,3
1,E01002349,4
1,E01033364,2
1,E01015730,2
1,E01001246,Most deprived
1,E01007502,4
1,E01001445,2
1,E01018304,3
1,E01033399,Most deprived
1,E01015932,Most deprived
1,E01013223,Least deprived
1,E01005120,2
1,E01001467,2
1,E01031307,Least deprived
1,E01024277,Most deprived
1,E01023441,Least deprived
1,E01002097,Most deprived
1,E01024126,2
1,E01021749,4
1,E01005972,2
1,E01021808,2
1,E01016696,Least deprived
1,E01010731,Most deprived
1,E01001426,Most deprived
1,E01028521,4
1,E01002371,3
1,E01003475,4
1,E01032797,4
1,E01002362,Least deprived
1,E01000322,3
1,E01021846,Most deprived
1,E01003925,Most deprived
1,E01001978,Most deprived
1,E01026957,Most deprived
1,E01001057,Most deprived
1,E01017551,Least deprived
1,E01001348,3
1,E01002090,Most deprived
1,E01001529,Most deprived
1,E01001444,2
1,E01019652,4
1,E01003150,Most deprived
1,E01001596,4
1,E01015937,3
1,E01022891,Least deprived
1,E01002283,2
1,E01015728,2
1,E01000433,Most deprived
1,E01026241,3
1,E01024727,4
1,E01016996,3
1,E01016741,Most deprived
1,E01033730,2
1,E01025812,4
1,E01011907,2
1,E01015971,2
1,E01021328,2
1,E01001438,Most deprived
1,E01030222,3
1,E01001542,3
1,E01001434,2
1,E01033593,2
1,E01021055,4
1,E01029922,2
1,E01011713,Least deprived
1,E01002320,4
1,E01021386,Least deprived
1,E01014557,Least deprived
1,E01001393,3
1,E01015895,Most deprived
1,E01021279,Most deprived
1,E01001984,3
1,E01031743,3
1,E01000681,Least deprived
1,E01026835,4
1,E01010603,3
1,E01033605,Most deprived
1,E01002068,Most deprived
1,E01001093,3
1,E01030335,4
1,E01006783,Most deprived
1,E01030307,Least deprived
1,E01021291,2
1,E01021511,4
1,E01024660,Most deprived
1,E01001962,3
1,E01002701,2
1,E01003267,Most deprived
1,E01002032,Most deprived
1,E01028798,Least deprived
1,E01024467,Least deprived
1,E01024651,3
1,E01004567,Most deprived
1,E01008987,Most deprived
1,E01001521,Least deprived
1,E01031419,3
1,E01013931,3
1,E01026588,4
1,E01003330,Most deprived
1,E01024338,Least deprived
1,E01001482,Most deprived
1,E01002720,Most deprived
1,E01001634,Most deprived
1,E01001157,3
1,E01002066,Most deprived
1,E01005098,Most deprived
1,E01003747,Least deprived
1,E01017460,Least deprived
1,E01021452,Least deprived
1,E01000992,Most deprived
1,E01015837,4
1,E01000189,Most deprived
1,E01001481,2
1,E01010365,Most deprived
1,E01006248,Most deprived
1,E01000692,Least deprived
1,E01002043,2
1,E01001533,Least deprived
1,E01014570,2
1,E01018287,Least deprived
1,E01002193,4
1,E01002390,Least deprived
1,E01001562,Most deprived
1,E01021812,2
1,E01007874,Most deprived
1,E01003246,Most deprived
1,E01026992,Most deprived
1,E01015952,2
1,E01002331,3
1,E01024188,4
1,E01001660,Most deprived
1,E01001499,3
1,E01002047,2
1,E01017431,4
1,E01001979,Most deprived
1,E01028572,Least deprived
1,E01015714,3
1,E01004624,3
1,E01023921,3
1,E01000402,3
1,E01024314,3
1,E01002791,3
1,E01001578,2
1,E01013625,Most deprived
1,E01001503,2
1,E01008283,Least deprived
1,E01023744,Least deprived
1,E01002294,4
1,E01024145,Least deprived
1,E01023316,Least deprived
1,E01001342,3
1,E01002772,2
1,E01010831,Most deprived
1,E01000523,Most deprived
1,E01012258,Most deprived
1,E01010059,Most deprived
1,E01002037,Most deprived
1,E01001585,4
1,E01021515,4
1,E01001200,3
1,E01009522,2
1,E01002715,Most deprived
1,E01002104,2
1,E01019095,Most deprived
1,E01012681,Most deprived
1,E01007529,Most deprived
1,E01002011,3
1,E01023309,Least deprived
1,E01004053,Least deprived
1,E01015957,2
1,E01001980,Most deprived
1,E01022986,Least deprived
1,E01002031,Most deprived
1,E01021362,3
1,E01031573,2
1,E01026956,3
1,E01009284,2
1,E01001571,3
1,E01024158,4
1,E01004484,2
1,E01025503,Most deprived
1,E01001582,2
1,E01005594,2
1,E01002447,3
1,E01002722,Most deprived
1,E01001442,Most deprived
1,E01000403,2
1,E01001484,2
1,E01002171,4
1,E01023405,2
1,E01004682,2
1,E01023335,4
1,E01024579,2
1,E01009138,2
1,E01001458,Most deprived
1,E01016003,2
1,E01000746,2
1,E01008489,Most deprived
1,E01002339,Least deprived
1,E01022654,Least deprived
1,E01015789,Most deprived
1,E01001413,4
1,E01001996,4
1,E01020979,Most deprived
1,E01021757,Least deprived
1,E01023794,2
1,E01021282,4
1,E01021838,3
1,E01001575,Most deprived
1,E01016649,Least deprived
1,E01000558,2
1,E01007831,4
1,E01021718,4
1,E01024135,Most deprived
1,E01004742,4
1,E01015886,Most deprived
1,E01001255,4
1,E01001166,2
1,E01016728,4
1,E01033090,Most deprived
1,E01003194,Most deprived
1,E01012268,Most deprived
1,E01001502,2
1,E01029966,4
1,E01016371,3
1,E01030544,4
1,E01029760,Least deprived
1,E01017548,4
1,E01002132,4
1,E01011953,Most deprived
1,E01028373,Least deprived
1,E01013751,2
1,E01033398,2
1,E01017085,2
1,E01033720,4
1,E01024682,Most deprived
1,E01026743,2
1,E01000742,2
1,E01031375,4
1,E01025989,2
1,E01001982,Most deprived
1,E01001515,Most deprived
1,E01010095,Most deprived
1,E01015782,2
1,E01003216,2
1,E01015954,Most deprived
1,E01031865,4
1,E01014714,Least deprived
1,E01015332,4
1,E01033141,3
1,E01029266,3
1,E01001508,2
1,E01003806,Least deprived
1,E01010737,Most deprived
1,E01003938,2
1,E01008967,4
1,E01007644,3
1,E01000644,2
1,E01015907,2
1,E01001576,Most deprived
1,E01018072,2
1,E01015913,4
1,E01016897,4
1,E01017601,Most deprived
1,E01022031,Most deprived
1,E01001195,3
1,E01016711,4
1,E01021548,Least deprived
1,E01018337,2
1,E01033063,4
1,E01021871,2
1,E01014566,2
1,E01023735,Least deprived
1,E01032967,4
1,E01004550,3
1,E01000651,4
1,E01031429,Most deprived
1,E01029734,Most deprived
1,E01026860,4
1,E01013629,2
1,E01001480,2
1,E01015844,Most deprived
1,E01021311,Most deprived
1,E01024079,3
1,E01004816,2
1,E01021577,Least deprived
1,E01026926,Least deprived
1,E01024276,3
1,E01015855,Most deprived
1,E01001461,Most deprived
1,E01021790,2
1,E01009597,2
1,E01001403,3
1,E01002793,Most deprived
1,E01001447,Most deprived
1,E01002166,3
1,E01005227,Most deprived
1,E01015734,2
1,E01021828,Least deprived
1,E01014126,2
1,E01015968,3
1,E01021556,4
1,E01026849,4
1,E01032481,Most deprived
1,E01000226,2
1,E01001968,4
1,E01002063,2
1,E01002383,4
1,E01001658,3
1,E01017124,2
1,E01004115,Least deprived
1,E01033745,2
1,E01023340,3
1,E01021798,Least deprived
1,E01000225,4
1,E01005235,Most deprived
1,E01023346,2
1,E01033359,Most deprived
1,E01002085,2
1,E01001370,2
1,E01005217,2
1,E01024931,2
1,E01009358,Most deprived
1,E01033642,Most deprived
1,E01021862,2
1,E01032740,3
1,E01015630,2
1,E01002726,2
1,E01021835,2
1,E01021628,4
1,E01003930,Most deprived
1,E01021646,4
1,E01002198,4
1,E01024141,4
1,E01026633,Most deprived
1,E01000929,2
1,E01001646,3
1,E01016168,2
1,E01003988,Most deprived
1,E01021786,Least deprived
1,E01021503,2
1,E01015927,2
1,E01000843,3
1,E01010739,Most deprived
1,E01002273,4
1,E01016008,2
1,E01021654,Least deprived
1,E01009255,2
1,E01012310,3
1,E01021867,4
1,E01000182,4
1,E01016921,2
1,E01021305,Most deprived
1,E01023988,3
1,E01002341,4
1,E01002340,4
1,E01001003,2
1,E01002061,3
1,E01017487,2
1,E01021829,2
1,E01002799,Most deprived
1,E01033239,3
1,E01029897,Least deprived
1,E01030783,Least deprived
1,E01003348,2
1,E01022048,2
1,E01028539,4
1,E01004718,Most deprived
